10-й микрорайон, Белгород, Россия - 3
Клин, Московская область, Россия - 4
Козельск, Калужская область, Россия - 1
Кола, Мурманская область, Россия - 1
Коломна, Московская область, Россия - 6
Колпино, Санкт-Петербург, Россия - 6
Комсомольск-на-Амуре, Хабаровский край, Россия - 5
Кондопога, Республика Карелия, Россия - 2
Конаково, Тверская область, Россия - 3
Копейск, Челябинская область, Россия - 2
Кореновск, Краснодарский край, Россия - 1
Котельники, Московская область, Россия - 2
Кострома, Россия - 8
Королёв, Московская область, Россия - 5
Котовск, Тамбовская область, Россия - 2
Красноармейск, Московская область, Россия - 1
Красногорск, Московская область, Россия - 6
Красное Село, Санкт-Петербург, Россия - 2
Краснодар, Россия - 31
Краснознаменск, Московская область, Россия - 1
Краснокамск, Пермский край, Россия - 1
Красноперекопск, Республика Крым, Россия - 1
Красноярск, Россия - 26
Краснотурьинск, Свердловская область, Россия - 1
Кронштадт, Санкт-Петербург, Россия - 3
Кропоткин, Кавказский район, Краснодарский край, Россия - 4
Крымск, Краснодарский край, Россия - 2
Кстово, Нижегородская область, Россия - 2
Кузнецк, Пензенская область, Россия - 2
Курганинск, Краснодарский край, Россия - 4
Курск, Россия - 20
Курская область, Россия - 1
Курчатов, Курская область, Россия - 4
Кызыл, Республика Тыва, Россия - 1
Лабинск, Краснодарский край, Россия - 1
Лангепас, Ханты-Мансийский автономный округ, Россия - 1
Лебедянь, Липецкая область, Россия - 1
Ленинградская область, Россия - 1
Лениногорск, Республика Татарстан, Россия - 2
Ленинск-Кузнецкий, Кемеровская область, Россия - 3
Ленинский район, Киров, Россия - 8
Ленинский район, Московская область, Россия - 2
Ленинский район, Челябинск, Россия - 5
Лермонтов, Ставропольский край, Россия - 1
Курган, Россия - 12
Лесной, Свердловская область, Россия - 1
Лесозаводск, Приморский край, Россия - 1
Ливны, Орловская область, Россия - 1
Липецк, Россия - 33
Лиски, Воронежская область, Россия - 4
Лобня, Московская область, Россия - 3
Кунгур, Пермский край, Россия - 1
Луховицы, Московская область, Россия - 1
Луга, Ленинградская область, Россия - 1
Люберцы, Московская область, Россия - 7
Людиново, Калужская область, Россия - 1
Льгов, городской округ Льгов, Курская область, Россия - 1
Магадан, Россия - 1
Магарамкентский район, Республика Дагестан, Россия - 1
Майкоп, Республика Адыгея, Россия - 25
Магнитогорск, Челябинская область, Россия - 19
Майский, Кабардино-Балкарская Республика, Россия - 2
Малгобек, Республика Ингушетия, Россия - 1
Малоярославец, Калужская область, Россия - 3
Мариинск, Кемеровская область, Россия - 1
Маркс, Саратовская область, Россия - 1
Махачкала, Республика Дагестан, Россия - 26
Междуреченск, Кемеровская область, Россия - 1
Мегион, Ханты-Мансийский автономный округ, Россия - 1
Мелеуз, Республика Башкортостан, Россия - 1
Миасс, Челябинская область, Россия - 4
Минеральные Воды, Ставропольский край, Россия - 8
Михайловск, Шпаковский район, Ставропольский край, Россия - 12
Мирный, Республика Саха (Якутия), Россия - 1
Мичуринск, Тамбовская область, Россия - 3
Можайск, Московская область, Россия - 3
Можга, Удмуртская Республика, Россия - 1
Моздок, Республика Северная Осетия — Алания, Россия - 1
Моршанск, Тамбовская область, Россия - 2
Мончегорск, Мурманская область, Россия - 2
Москва, Россия - 448
Московская область, Россия - 7
Московский, Москва, Россия - 2
Мурманск, Россия - 12
Мценск, Орловская область, Россия - 2
Мытищи, Московская область, Россия - 6
Муром, Владимирская область, Россия - 4
Назарово, Красноярский край, Россия - 1
Набережные Челны, Республика Татарстан, Россия - 11
Назрань, Республика Ингушетия, Россия - 1
Нарткала, Урванский район, Кабардино-Балкарская Республика, Россия - 5
Наро-Фоминский район, Московская область, Россия - 2
Наро-Фоминск, Московская область, Россия - 5
Нальчик, Кабардино-Балкарская Республика, Россия - 50
Находка, Приморский край, Россия - 2
Невинномысск, Ставропольский край, Россия - 11
Нахичевань, Ростов-на-Дону, Россия - 3
Нерюнгри, Республика Саха (Якутия), Россия - 1
Нефтекамск, Республика Башкортостан, Россия - 3
Нефтеюганск, Ханты-Мансийский автономный округ, Россия - 2
Нефтекумск, Ставропольский край, Россия - 3
Нижневартовск, Ханты-Мансийский автономный округ, Россия - 9
Нижегородская область, Россия - 2
Нижнекамск, Республика Татарстан, Россия - 12
Нижний Новгород, Россия - 42
Нижний Тагил, Свердловская область, Россия - 11
Никольское, Тосненский район, Ленинградская область, Россия - 1
Новоалтайск, Алтайский край, Россия - 1
Новоалександровск, Ставропольский край, Россия - 3
Нововоронеж, Воронежская область, Россия - 1
Нововятский район, Киров, Россия - 2
Новозыбков, Брянская область, Россия - 1
Новокубанск, Краснодарский край, Россия - 2
Новокуйбышевск, Самарская область, Россия - 3
Новокузнецк, Кемеровская область, Россия - 11
Новомосковск, муниципальное образование Город Новомосковск, Тульская область, Россия - 5
Новопавловск, Кировский район, Ставропольский край, Россия - 1
Новороссийск, Краснодарский край, Россия - 14
Новотроицк, Оренбургская область, Россия - 3
Новосибирский район, Новосибирская область, Россия - 1
Новосибирск, Россия - 47
Новочебоксарск, Чувашская Республика, Россия - 3
Новочеркасск, Ростовская область, Россия - 7
Новошахтинск, Ростовская область, Россия - 2
Новый Оскол, Белгородская область, Россия - 1
Новый Уренгой, Ямало-Ненецкий автономный округ, Россия - 2
Ногинск, городское поселение Ногинск, Московская область, Россия - 5
Новоуральск, Свердловская область, Россия - 2
Норильск, Красноярский край, Россия - 3
Ноябрьск, Ямало-Ненецкий автономный округ, Россия - 2
Нягань, Ханты-Мансийский автономный округ, Россия - 1
Обнинск, Калужская область, Россия - 4
Одинцово, Московская область, Россия - 6
Озёры, Московская область, Россия - 1
Октябрьский округ, Архангельск, Россия - 1
Октябрьский, Республика Башкортостан, Россия - 3
Обь, Новосибирская область, Россия - 1
Омск, Россия - 27
Оренбург, Россия - 8
Орёл, Россия - 24
Осинники, Кемеровская область, Россия - 1
Орехово-Зуево, Московская область, Россия - 7
Павлово, Нижегородская область, Россия - 1
Отрадный, Самарская область, Россия - 1
Палласовка, Волгоградская область, Россия - 1
Пашковский микрорайон, Краснодар, Россия - 1
Пенза, Россия - 12
Павловский Посад, Московская область, Россия - 2
Первомайский район, Киров, Россия - 4
Первоуральск, Свердловская область, Россия - 6
Пермь, Россия - 35
Петрозаводск, Республика Карелия, Россия - 8
Петергоф, Санкт-Петербург, Россия - 2
Подольск, Московская область, Россия - 14
Петропавловск-Камчатский, Камчатский край, Россия - 4
Полевской, Свердловская область, Россия - 4
Полысаево, Кемеровская область, Россия - 1
Почеп, Брянская область, Россия - 1
Правобережный район, Республика Северная Осетия — Алания, Россия - 2
Приволжская железная дорога, Россия - 1
Приволжский район, Казань, Республика Татарстан, Россия - 1
Приморский край, Россия - 1
Приморско-Ахтарск, Краснодарский край, Россия - 1
Прохладный, Кабардино-Балкарская Республика, Россия - 7
Прокопьевск, Кемеровская область, Россия - 9
Пушкин, Санкт-Петербург, Россия - 5
Пушкино, Московская область, Россия - 5
Пятигорск, Ставропольский край, Россия - 32
Раменское, Московская область, Россия - 6
Псков, Россия - 11
Рассказово, Тамбовская область, Россия - 2
Республика Башкортостан, Россия - 1
Республика Бурятия, Россия - 1
Республика Дагестан, Россия - 12
Республика Ингушетия, Россия - 1
Республика Крым, Россия - 3
Республика Калмыкия, Россия - 2
Республика Марий Эл, Россия - 1
Республика Северная Осетия — Алания, Россия - 2
Республика Татарстан, Россия - 11
Рославль, Смоленская область, Россия - 3
Ржев, Тверская область, Россия - 1
Реутов, Московская область, Россия - 5
Россия - 16
Россошь, Воронежская область, Россия - 1
Ростовская область, Россия - 1
Ростов-на-Дону, Россия - 43
Рубцовск, Алтайский край, Россия - 4
Руза, Московская область, Россия - 2
Рузаевка, Республика Мордовия, Россия - 4
Рыльск, Курская область, Россия - 2
Рязань, Россия - 17
Саки, Республика Крым, Россия - 1
Салават, Республика Башкортостан, Россия - 3
Салехард, Ямало-Ненецкий автономный округ, Россия - 1
Самара, Россия - 42
Санкт-Петербург, Россия - 228
Саранск, Республика Мордовия, Россия - 5
Сарапул, Удмуртская Республика, Россия - 1
Саратов, Россия - 28
Саратовская область, Россия - 1
Саров, Нижегородская область, Россия - 1
Сатка, Челябинская область, Россия - 1
Свердловская область, Россия - 2
Светлоград, Петровский район, Ставропольский край, Россия - 3
Севастополь, Россия - 8
Северодвинск, Архангельская область, Россия - 5
Североморск, Мурманская область, Россия - 1
Северск, Томская область, Россия - 2
Севск, Севский район, Брянская область, Россия - 1
Сельцо, Брянская область, Россия - 1
Семилуки, Воронежская область, Россия - 1
Сергиев Посад, Московская область, Россия - 4
Серов, Серовский городской округ, Свердловская область, Россия - 2
Серпухов, Московская область, Россия - 5
Сертолово, Всеволожский район, Ленинградская область, Россия - 2
Симферополь, Республика Крым, Россия - 14
Славянск-на-Кубани, Краснодарский край, Россия - 1
Славянский микрорайон, Краснодар, Россия - 1
Слободской, Кировская область, Россия - 1
Снежинск, Челябинская область, Россия - 1
Смоленск, Россия - 30
Советская Гавань, Советско-Гаванский район, Хабаровский край, Россия - 1
Солнечногорск, Московская область, Россия - 4
Солнечногорский район, Московская область, Россия - 1
Соликамск, Пермский край, Россия - 3
Сосновый Бор, Ленинградская область, Россия - 2
Сосногорск, район Сосногорск, Республика Коми, Россия - 1
Спасск-Дальний, Приморский край, Россия - 1
Ставрополь, Россия - 52
Сочи, Краснодарский край, Россия - 22
Ставропольский край, Россия - 6
Стародуб, Брянская область, Россия - 1
Старый Оскол, Белгородская область, Россия - 14
Стерлитамак, Республика Башкортостан, Россия - 8
Строитель, Яковлевский район, Белгородская область, Россия - 1
Ступино, Московская область, Россия - 1
Суворов, Тульская область, Россия - 1
Сураж, Брянская область, Россия - 1
Сургут, Ханты-Мансийский автономный округ, Россия - 18
Сухиничи, Калужская область, Россия - 1
Сургутский район, Ханты-Мансийский автономный округ, Россия - 1
Сызрань, Самарская область, Россия - 5
Сыктывкар, Республика Коми, Россия - 8
Сычёвка, Смоленская область, Россия - 1
Таганрог, Ростовская область, Россия - 14
Тамбов, Россия - 16
Тверь, Россия - 33
Темрюк, Краснодарский край, Россия - 1
Терек, Кабардино-Балкарская Республика, Россия - 4
Тимашевск, Краснодарский край, Россия - 1
Тихвин, Ленинградская область, Россия - 2
Тихорецк, Тихорецкий район, Краснодарский край, Россия - 2
Тобольск, Тюменская область, Россия - 2
Тольятти, Самарская область, Россия - 30
Томск, Россия - 11
Тосно, Тосненское городское поселение, Ленинградская область, Россия - 1
Троицк, Москва, Россия - 2
Трубчевск, Брянская область, Россия - 1
Туапсе, Краснодарский край, Россия - 5
Тула, Россия - 31
Тюмень, Россия - 29
Удомля, Тверская область, Россия - 2
Узловая, Тульская область, Россия - 1
Улан-Удэ, Республика Бурятия, Россия - 11
Ульяновск, Россия - 28
Унеча, Брянская область, Россия - 1
Усмань, Липецкая область, Россия - 1
Уссурийск, Приморский край, Россия - 7
Усть-Джегута, Карачаево-Черкесская Республика, Россия - 1
Усть-Лабинск, Краснодарский край, Россия - 1
Уфа, Республика Башкортостан, Россия - 51
Ухта, Республика Коми, Россия - 6
Феодосия, Республика Крым, Россия - 4
Фестивальный микрорайон, Краснодар, Россия - 7
Фокино, Брянская область, Россия - 1
Фрязино, Московская область, Россия - 1
Ханты-Мансийск, Ханты-Мансийский автономный округ, Россия - 4
Хабаровск, Россия - 12
Харабали, Астраханская область, Россия - 1
Ханты-Мансийский автономный округ, Россия - 4
Хасавюрт, Республика Дагестан, Россия - 1
Химки, Московская область, Россия - 5
Центральный микрорайон, Краснодар, Россия - 13
Центральный микрорайон, Центральный район, Рыбинск, Ярославская область, Россия - 5
Центральный округ, Курск, Россия - 1
Центральный район, Сочи, Краснодарский край, Россия - 2
Центральный район, Сыктывкар, Республика Коми, Россия - 2
Цивильск, Чувашская Республика, Россия - 1
Чайковский, Пермский край, Россия - 1
Чапаевск, Самарская область, Россия - 1
Чебоксары, Чувашская Республика, Россия - 22
Чегем, Кабардино-Балкарская Республика, Россия - 2
Челябинск, Россия - 34
Череповец, Вологодская область, Россия - 10
Черкесск, Карачаево-Черкесская Республика, Россия - 13
Черногорск, Республика Хакасия, Россия - 1
Черняховск, Калининградская область, Россия - 1
Чистополь, Республика Татарстан, Россия - 1
Чехов, Московская область, Россия - 4
Чита, Забайкальский край, Россия - 8
Шебекино, Белгородская область, Россия - 1
Шадринск, Курганская область, Россия - 1
Шахты, Ростовская область, Россия - 9
Школьный микрорайон, Краснодар, Россия - 1
Шумерля, Чувашская Республика, Россия - 1
Шуя, Ивановская область, Россия - 1
Щербинка, Москва, Россия - 4
Щёлково, Московская область, Россия - 4
Электросталь, Московская область, Россия - 2
Элиста, Республика Калмыкия, Россия - 24
Энгельс, Саратовская область, Россия - 13
Юбилейный микрорайон, Краснодар, Россия - 4
Южно-Сахалинск, Сахалинская область, Россия - 2
Ялта, Республика Крым, Россия - 3
Якутск, Республика Саха (Якутия), Россия - 10
Ярославль, Россия - 21
Ярцево, Смоленская область, Россия - 1
городское поселение Будённовск, Буденновский район, Ставропольский край, Россия - 1
городской округ Истра, Московская область, Россия - 1
город Светлый, Калининградская область, Россия - 3
городской округ Город-курорт Пятигорск, Ставропольский край, Россия - 2
деревня Азьмушкино, Тукаевский район, Республика Татарстан, Россия - 1
деревня Голиково, Солнечногорский район, Московская область, Россия - 1
микрорайон Авиационный, Домодедово, Московская область, Россия - 1
микрорайон Адлер, Сочи, Краснодарский край, Россия - 14
деревня Кондратово, Пермский район, Пермский край, Россия - 1
микрорайон Арбеково, Пенза, Россия - 2
микрорайон Азино-1, Казань, Республика Татарстан, Россия - 2
микрорайон Академгородок, Советский район, Новосибирск, Россия - 1
микрорайон Блиново, Сочи, Краснодарский край, Россия - 1
микрорайон Байконур, Чебоксары, Чувашская Республика, Россия - 1
микрорайон Ботанический, Екатеринбург, Свердловская область, Россия - 1
микрорайон Вторчермет, Екатеринбург, Свердловская область, Россия - 1
микрорайон Болшево, Королёв, Московская область, Россия - 1
микрорайон Гидростроителей, Краснодар, Россия - 3
микрорайон Городок Нефтяников, Омск, Россия - 1
микрорайон Донская, Сочи, Краснодарский край, Россия - 1
микрорайон ЖБИ, Екатеринбург, Свердловская область, Россия - 4
микрорайон Железнодорожный, Балашиха, Московская область, Россия - 3
микрорайон Жилгородок, Балаково, Саратовская область, Россия - 1
микрорайон Завокзальный, Сочи, Краснодарский край, Россия - 1
микрорайон Западный, Ростов-на-Дону, Россия - 7
микрорайон Каштак, Ленинский район, Томск, Россия - 1
микрорайон Климовск, Подольск, Московская область, Россия - 2
микрорайон Коминтерновский, Киров, Россия - 1
микрорайон Кучино, Балашиха, Московская область, Россия - 2
микрорайон КЗТЗ, Курск, Россия - 2
микрорайон Лазаревское, Сочи, Краснодарский край, Россия - 4
микрорайон Макаренко, Сочи, Краснодарский край, Россия - 3
микрорайон Малаховского Экспериментального Завода, посёлок городского типа Малаховка, городской округ Люберцы, Московская область, Россия - 1
микрорайон Новобайдаевский, Новокузнецк, Кемеровская область, Россия - 3
микрорайон Мамайка, Сочи, Краснодарский край, Россия - 1
микрорайон Новый город, Орск, Оренбургская область, Россия - 2
микрорайон Ольгино, Балашиха, Московская область, Россия - 2
микрорайон Пионерский, Екатеринбург, Свердловская область, Россия - 2
микрорайон Привокзальный, Волоколамск, Московская область, Россия - 1
микрорайон Салют, Белгород, Россия - 1
микрорайон Сахалин, Михайловка, Волгоградская область, Россия - 1
микрорайон Светлана, Сочи, Краснодарский край, Россия - 2
микрорайон Северный, Домодедово, Московская область, Россия - 1
микрорайон Северный, Ростов-на-Дону, Россия - 8
микрорайон Северный, Красноярск, Россия - 2
микрорайон Северо-Западный, Курск, Россия - 4
микрорайон Соцгород-I, Нижний Новгород, Россия - 3
микрорайон Сходня, Химки, Московская область, Россия - 6
микрорайон Семь Ветров, Волгоград, Россия - 4
микрорайон Терновка, Пенза, Россия - 1
микрорайон Химмаш, Екатеринбург, Свердловская область, Россия - 1
микрорайон Холодово, Западный район, Раменское, Московская область, Россия - 1
микрорайон Хоста, Сочи, Краснодарский край, Россия - 2
микрорайон Центр, Борисоглебск, Воронежская область, Россия - 3
микрорайон Центральный, Воскресенск, Московская область, Россия - 3
микрорайон Центральный, Сочи, Краснодарский край, Россия - 11
микрорайон Черемошники, Томск, Россия - 1
микрорайон Черёмушки, Краснодар, Россия - 6
микрорайон Шексна Северная, рабочий посёлок Шексна, Шекснинский район, Вологодская область, Россия - 1
микрорайон Шлюзовой, Тольятти, Самарская область, Россия - 1
микрорайон Эльмаш, Екатеринбург, Свердловская область, Россия - 1
микрорайон Юго-Западный, Екатеринбург, Свердловская область, Россия - 6
микрорайон Юго-Западный, Киров, Россия - 1
микрорайон Южный, Хабаровск, Россия - 2
микрорайон №17, Ставрополь, Россия - 1
микрорайон имени Бабаевского, Астрахань, Россия - 2
микрорайон №24, Ставрополь, Россия - 1
поселок ГЭС, Набережные Челны, Республика Татарстан, Россия - 2
поселок Джуца, Предгорный район, Ставропольский край, Россия - 1
поселок Новый Хушет, Махачкала, Республика Дагестан, Россия - 1
поселок Майский, Белгородский район, Белгородская область, Россия - 1
поселок Муллы, Пермь, Россия - 1
поселок Строитель, Тамбовский район, Тамбовская область, Россия - 2
поселок Октябрьский, Бор, Нижегородская область, Россия - 1
поселок УАЗ, Каменск-Уральский, Свердловская область, Россия - 1
поселок Энергетик, Братск, Иркутская область, Россия - 1
поселок городского типа Афипский, Северский район, Краснодарский край, Россия - 1
поселок Чкаловский, Ростов-на-Дону, Россия - 4
поселок городского типа Борисовка, Борисовский район, Белгородская область, Россия - 1
поселок городского типа Горячеводский, городской округ Город-курорт Пятигорск, Ставропольский край, Россия - 1
поселок городского типа Коктебель, городской округ Феодосия, Республика Крым, Россия - 1
поселок городского типа Монино, Щёлковский район, Московская область, Россия - 1
поселок городского типа Нарышкино, Урицкий район, Орловская область, Россия - 1
поселок городского типа Приморский, городской округ Феодосия, Республика Крым, Россия - 1
поселок городского типа Разумное, Белгородский район, Белгородская область, Россия - 1
поселок городского типа Северный, Белгородский район, Белгородская область, Россия - 1
поселок городского типа Томаровка, Яковлевский район, Белгородская область, Россия - 1
поселок городского типа Энем, Тахтамукайский район, Республика Адыгея, Россия - 1
посёлок Берёзовый, городской округ Город Краснодар, Россия - 1
посёлок Дербышки, Казань, Республика Татарстан, Россия - 1
посёлок Дубровка, Дубровский район, Брянская область, Россия - 1
посёлок Локоть, Локотское городское поселение, Брасовский район, Брянская область, Россия - 1
посёлок Матвеев Курган, Матвеево-Курганский район, Ростовская область, Россия - 2
посёлок Мурино, Всеволожский район, Ленинградская область, Россия - 1
посёлок Климово, Климовский район, Брянская область, Россия - 1
посёлок Новые Ляды, Свердловский район, Пермь, Россия - 1
посёлок Навля, Навлинский район, Брянская область, Россия - 2
посёлок Погар, Погарский район, Брянская область, Россия - 1
посёлок Суземка, Суземское городское поселение, Суземский район, Брянская область, Россия - 1
посёлок Трудовое, городской округ Владивостокский, Приморский край, Россия - 1
посёлок Октябрьский, Саратов, Россия - 1
посёлок городского типа Гурзуф, городской округ Ялта, Республика Крым, Россия - 1
посёлок городского типа Зубова Поляна, Зубово-Полянский район, Республика Мордовия, Россия - 1
посёлок городского типа Васильево, Зеленодольский район, Республика Татарстан, Россия - 1
посёлок городского типа Клетня, Клетнянский район, Брянская область, Россия - 1
посёлок городского типа Красная Поляна, Сочи, Краснодарский край, Россия - 1
посёлок городского типа Кукмор, Кукморский район, Республика Татарстан, Россия - 1
посёлок городского типа Яблоновский, Тахтамукайский район, Республика Адыгея, Россия - 3
рабочий посёлок Нахабино, городской округ Красногорск, Московская область, Россия - 3
район Дашково-Песочня, Октябрьский административный округ, Рязань, Россия - 2
район Завеличье, Псков, Россия - 1
район Канищево, Московский административный округ, Рязань, Россия - 3
район Мариевка, Южный район, Рыбинск, Ярославская область, Россия - 1
район Московский, Московский административный округ, Рязань, Россия - 1
район Приокский, Московский административный округ, Рязань, Россия - 1
район Расторгуево, Видное, Ленинский район, Московская область, Россия - 1
район Светотехстрой, Саранск, Республика Мордовия, Россия - 2
район Скоморохова Гора, Центральный район, Рыбинск, Ярославская область, Россия - 2
район Соломбала, Архангельск, Россия - 2
