Кострома;80%
Городской округ Кострома;80%
Мытищи;106%
Петрозаводск;82%
Петрозаводский городской округ;82%
Одинцово;109%
Черновцы;262%
Нальчик;135%
Городской округ Нальчик;135%
Городской округ Подольск;65%
Подольск;65%
Одесса;50%
Сумы;121%
Тамбов;64%
Городской округ Тамбов;64%
Йошкар-Ола;95%
Городской округ Йошкар-Ола;95%
Городской округ Балашиха;62%
Грозный;196%
Городской округ Грозный;196%
Новокузнецк;66%
Новокузнецкий городской округ;66%
Балашиха;63%
Саранск;61%
Чита;58%
Городской округ Чита;58%
Городской округ Саранск;61%
Сыктывкар;78%
Городской округ Сыктывкар;78%
Псков;103%
Городской округ Псков;103%
Полтава;100%
Мурманск;63%
Городской округ Мурманск;63%
Курган;59%
Городской округ Курган;59%
Алматы;31%
Гродно;62%
Городской округ Нижний Тагил;80%
Нижний Тагил;80%
Стерлитамак;95%
Городской округ Стерлитамак;95%
Волжский;87%
Городской округ Волжский;87%
Городской округ Красногорск;79%
Сургут;72%
Городской округ Сургут;72%
Дмитровский район;138%
Гомель;37%
Череповец;79%
Городской округ Череповец;79%
Кривой Рог;60%
Старооскольский городской округ;111%
Старый Оскол;111%
Городской округ Люберцы;56%
Днепр;34%
Могилёв;56%
Витебск;40%
Лобня;228%
Городской округ Лобня;228%
Щёлковский район;90%
Химки;57%
Городской округ Химки;57%
Абакан;78%
Городской округ Абакан;78%
Львов;77%
Дмитров;157%
Луганск;61%
Донецк;30%
Тель-Авив;296%
Севастополь;64%
Красногорск;83%
Астана;57%
Ханты-Мансийск;74%
Городской округ Ханты-Мансийск;74%
Запорожье;37%
Элиста;186%
Городской округ Элиста;186%
Брест;33%
Люберцы;56%
Великий Новгород;55%
Городской округ Великий Новгород;55%
Таганрог;90%
Городской округ Таганрог;90%
Северодонецк;232%
Истринский район;93%
Городской округ Домодедово;85%
Домодедово;85%
Черкассы;95%
Наро-Фоминский район;97%
Благовещенск;66%
Городской округ Благовещенск;66%
Берлин;160%
Северодвинск;115%
Альметьевск;112%
Муниципальное образование Северодвинск;115%
Мукачево;637%
Раменский район;57%
Городской округ Каменск-Уральский;99%
Каменск-Уральский;99%
Франкфурт-на-Майне;44%
Щелково;83%
Иерусалим;290%
Королёв;62%
Городской округ Королёв;62%
Керчь;209%
Городской округ Керчь;209%
Городской округ Пятигорск;100%
Якутск;81%
Пятигорск;100%
Городской округ Нефтекамск;130%
Зеленоград;69%
Нефтекамск;130%
Городской округ Нижневартовск;59%
Городской округ Якутск;81%
Сергиево-Посадский район;54%
Нижнекамск;128%
Воскресенский район;96%
Выборгский район;132%
Городской округ Егорьевск;175%
Нижневартовск;59%
Ленинский район;63%
Житомир;107%
Егорьевск;181%
Городской округ Улан-Удэ;32%
Улан-Удэ;32%
Городской округ Новороссийск;75%
Ковров;104%
Новороссийск;75%
Городской округ Орск;84%
Городской округ Ковров;104%
Новочеркасск;132%
Ногинский район;57%
Городской округ Новочеркасск;132%
Орск;84%
Херсон;48%
Городской округ Майкоп;91%
Городской округ Бийск;75%
Майкоп;91%
Городской округ Рыбинск;81%
Рыбинск;81%
Костанай;34%
Воскресенск;102%
Наро-Фоминск;108%
Выборг;151%
Раменское;62%
Невинномысск;149%
Городской округ Невинномысск;149%
Лос-Анджелес;119%
Солнечногорский район;77%
Бийск;75%
Черкесск;89%
Николаев;39%
Тосненский район;190%
Электросталь;73%
Городской округ Реутов;85%
Городской округ Черкесск;89%
Городской округ Электросталь;73%
Александровский район;94%
Всеволожский район;54%
Реутов;85%
Кременчуг;56%
Городской округ Армавир;107%
Чеховский район;65%
Луцк;130%
Коломна;57%
Городской округ Коломна;57%
Кропивницкий;70%
Южно-Сахалинск;48%
Городской округ Южно-Сахалинск;48%
Армавир;107%
Александров;100%
Чехов;68%
Тернополь;89%
Городской округ Камышин;137%
Истра;103%
Камышин;137%
Нью-Йорк;91%
Ивано-Франковск;112%
Пушкинский район;45%
Балаковский район;78%
Городской округ Салават;98%
Балаково;79%
Прокопьевск;80%
Прокопьевский городской округ;80%
Ногинск;61%
Городской округ Ухта;75%
Кишинев;52%
Сергиев Посад;45%
Салават;98%
Долгопрудный;73%
Нефтеюганск;68%
Городской округ Долгопрудный;73%
Киселёвск;224%
Городской округ Нефтеюганск;68%
Киселёвский городской округ;224%
Ухта;75%
Сызрань;80%
Городской округ Сызрань;80%
Городской округ Орехово-Зуево;68%
Волгодонск;85%
Энгельсский район;76%
Дербент;162%
Орехово-Зуево;68%
Городской округ Волгодонск;85%
Городской округ Новомосковск;78%
Видное;56%
Городской округ Дербент;162%
Городской округ Великие Луки;104%
Великие Луки;104%
Туймазинский район;85%
Городской округ Феодосия;125%
Новомосковск;78%
Усть-Каменогорск;51%
Никополь;122%
Городской округ Серпухов;54%
Феодосия;125%
Серпухов;54%
Городской округ Братск;55%
Братск;55%
Винница;40%
Ангарский городской округ;70%
Энгельс;73%
Караганда;30%
Пушкино;43%
Ступинский район;80%
Городской округ Петропавловск-Камчатский;58%
Петропавловск-Камчатский;58%
Клинский район;63%
Кавказский район;220%
Копейский городской округ;108%
Кропоткин;239%
Ангарск;70%
Копейск;108%
Колпинский район;110%
Ровно;63%
Туймазы;81%
Городской округ Новочебоксарск;101%
Арзамас;85%
Новочебоксарск;101%
Городской округ Салехард;72%
Городской округ Арзамас;85%
Салехард;72%
Гатчинский район;50%
Златоустовский городской округ;100%
Новотроицк;159%
Комсомольск-на-Амуре;55%
Городской округ Новотроицк;158%
Городской округ Комсомольск-на-Амуре;55%
Златоуст;100%
Городской округ Жуковский;51%
Павлоград;104%
Новый Уренгой;72%
Городской округ Новый Уренгой;72%
Назрань;187%
Кстовский район;80%
Жуковский;51%
Городской округ Назрань;187%
Городской округ Анапа;82%
Анапа;82%
Колпино;123%
Городской округ Рубцовск;89%
Новоуральский городской округ;120%
Дубна;79%
Рубцовск;89%
Стамбул;120%
Городской округ Дубна;79%
Новоуральск;120%
Горно-Алтайск;72%
Ессентуки;149%
Миасский городской округ;70%
Городской округ Горно-Алтайск;72%
Солнечногорск;73%
Городской округ Ессентуки;149%
Миасс;70%
Кызыл;79%
Городской округ Кызыл;79%
Учалинский район;155%
Муром;64%
Клин;55%
Учалы;159%
Фрязино;71%
Городской округ Муром;64%
Городской округ Фрязино;71%
Городской округ Зарайск;186%
Тирасполь;52%
Ялта;77%
Городской округ Ялта;77%
Ачинск;81%
Городской округ Ачинск;81%
Дзержинск;48%
Городской округ Дзержинск;48%
Мелитополь;64%
Тосно;224%
Бузулук;90%
Городской округ Бузулук;90%
Гусь-Хрустальный;166%
Усть-Кутский район;174%
Кстово;78%
Усть-Кут;181%
Городской округ Гусь-Хрустальный;164%
Магадан;105%
Конаковский район;122%
Белорецкий район;99%
Городской округ Магадан;105%
Павлодар;29%
Железногорск;56%
Глазов;70%
Белорецк;101%
Городской округ Глазов;70%
Городской округ Железногорск;56%
Городской округ Первоуральск;58%
Обнинск;47%
Городской округ Выкса;121%
Конаково;136%
Гатчина;48%
Первоуральск;58%
Выкса;121%
Городской округ Обнинск;47%
Городской округ Павловский Посад;87%
Мелеузовский район;94%
Ступино;64%
Павловский Посад;91%
Шадринск;92%
Анкара;89%
Сосновоборский городской округ;85%
Городской округ Шадринск;92%
Сосновый Бор;85%
Черноморск;366%
Мелеуз;92%
Серовский городской округ;92%
Хмельницкий;39%
Зарайск;155%
Чернигов;27%
Серов;92%
Рузский городской округ;74%
Троицк;81%
Сибай;111%
Городской округ Сибай;111%
Троицкий административный округ;81%
Ужгород;79%
Губкинский городской округ;89%
Городской округ Лангепас;97%
Губкин;89%
Лангепас;97%
Городской округ Воркута;67%
Лискинский район;152%
Белокалитвинский район;172%
Елец;69%
Воркута;67%
Городской округ Октябрьский;73%
Лиски;152%
Городской округ Елец;69%
Семей;67%
Бугульма;87%
Ноябрьск;58%
Октябрьский;73%
Городской округ Бердск;77%
Городской округ Ялуторовск;207%
Ялуторовск;207%
Городской округ Ноябрьск;58%
Мюнхен;117%
Тихвинский район;93%
Ейский район;74%
Нерюнгринский район;110%
Городской округ Михайловка;137%
Городское поселение Всеволожское;54%
Петропавловск;40%
Озёрский городской округ;73%
Михайловка;137%
Белая Калитва;186%
Бердск;77%
Тобольск;69%
Озёрск;73%
Всеволожск;54%
Нерюнгри;116%
Усть-Илимск;90%
Городской округ Усть-Илимск;90%
Актау;79%
Городской округ Шахты;55%
Городской округ Кашира;89%
Городской округ Тобольск;69%
Каменское;39%
Белая Церковь;53%
Шахты;55%
Нягань;67%
Пушкинский район;69%
Измаил;109%
Городской округ Нягань;67%
Сан-Франциско;1 019%
Тихвин;88%
Александрия;140%
Городской округ Верхняя Пышма;74%
Кашира;91%
Георгиевск;116%
Ейск;71%
Пушкин;80%
Дзержинский;57%
Верхняя Пышма;74%
Городской округ Березниковский;47%
Городской округ Дзержинский;57%
Евпатория;70%
Городской округ Евпатория;70%
Городской округ Георгиевск;116%
Березники;47%
Ишимбайский район;86%
Городской округ Азов;73%
Азов;73%
Ишимбай;88%
Алексеевский район;84%
Городской округ Жигулёвск;119%
Жигулёвск;119%
Полевской городской округ;109%
Волховский район;71%
Макеевка;24%
Уссурийский городской округ;56%
Апрелевка;107%
Краматорск;34%
Юрга;69%
Лисичанск;50%
Голицыно;218%
Уссурийск;56%
Юргинский городской округ;69%
Полевской;109%
Городской округ Мегион;103%
Кушвинский городской округ;124%
Алексеевка;84%
Кингисеппский район;70%
Алчевск;67%
Киришский район;73%
Кириши;75%
Кингисепп;80%
Городское поселение Волховское;78%
Мегион;103%
Хасавюрт;81%
Городской округ Хасавюрт;81%
Волхов;78%
Норильск;67%
Городской округ Норильск;67%
Саткинский район;71%
Минераловодский городской округ;91%
Малоярославецкий район;99%
Городской округ Геленджик;74%
Кушва;124%
Геленджик;74%
Городской округ Луховицы;65%
Актобе;36%
Минеральные Воды;91%
Котлас;69%
Туапсинский район;47%
Муниципальное образование Котлас;69%
Бахчисарайский район;81%
Крымский район;99%
Тимашёвский район;104%
Свалява;324%
Свалявский район;324%
Мичуринск;67%
Зеленодольск;112%
Руза;67%
Городское поселение Нахабино;99%
Сиэтл;149%
Ивантеевка;34%
Городской округ Мичуринск;67%
Городской округ Ивантеевка;34%
Нахабино;99%
Вяземский район;92%
Полярный;462%
Нарьян-Мар;107%
Городской округ ЗАТО Александровск;462%
Городской округ Нарьян-Мар;107%
Ленинск-Кузнецкий городской округ;65%
Ленинск-Кузнецкий;65%
Тихорецкий район;80%
Джанкой;84%
Малоярославец;101%
Городской округ Когалым;68%
Бердянск;39%
Бахчисарай;83%
Городской округ Джанкой;84%
Район Печора;105%
Кировский район;61%
Когалым;68%
Надымский район;56%
Тихорецк;85%
Балашовский район;94%
Печора;109%
Соликамск;72%
Снежинск;77%
Городской округ Соликамск;72%
Белово;54%
Городской округ Саров;71%
Снежинский городской округ;77%
Беловский городской округ;54%
Саров;71%
Лабинский район;149%
Туапсе;49%
Белебеевский район;46%
Ростов;133%
Ростовский район;133%
Городской округ Мончегорск;84%
Крымск;100%
Елабуга;96%
Лабинск;149%
Мончегорск;84%
Междуреченский городской округ;33%
Можайский район;54%
Городской округ Краснотурьинск;66%
Кимры;62%
Лужский район;102%
Можайск;61%
Междуреченск;33%
Краснотурьинск;66%
Чистополь;166%
Зеленогорск;85%
Городской округ Кимры;62%
Городской округ ЗАТО Зеленогорск;85%
Калуш;106%
Балашов;92%
Городской округ Ефремов;86%
Аксайский район;61%
Балахнинский район;114%
Сокольский район;145%
Шатурский район;51%
Ковель;180%
Ефремов;86%
Надым;56%
Вязьма;82%
Балахна;114%
Славянск;37%
Североуральский городской округ;72%
Луховицы;55%
Темиртау;62%
Луга;102%
Сокол;145%
Сарапул;54%
Пыть-Ях;100%
Минусинск;45%
Белогорск;65%
Шумерля;122%
Умань;64%
Кинешма;70%
Североуральск;72%
Городской округ Сарапул;54%
Аксай;61%
Городской округ Шумерля;122%
Городской округ Минусинск;45%
Городской округ Кинешма;70%
Городской округ Белогорск;65%
Сатка;65%
Городской округ Пыть-Ях;100%
Павловский район;63%
Городской округ Усинск;59%
Переславль-Залесский;63%
Городской округ Судак;150%
Бостон;291%
Кокшетау;27%
Городской округ Переславль-Залесский;63%
Шебекинский район;73%
Петушинский район;72%
Шебекино;83%
Торжок;108%
Дедовск;62%
Каменск-Шахтинский;54%
Воткинск;57%
Усолье-Сибирское;49%
Анжеро-Судженск;68%
Северск;46%
Радужный;84%
Биробиджан;58%
Курчатов;83%
Чайковский;44%
Чайковский район;43%
Кубинка;64%
Городской округ Воткинск;57%
Городской округ Торжок;108%
Городской округ Курчатов;83%
Городской округ Волжск;77%
Анжеро-Судженский городской округ;68%
Городской округ Усолье-Сибирское;49%
Городской округ ЗАТО Северск;46%
Городской округ Радужный;84%
Городской округ Каменск-Шахтинский;54%
Городской округ Биробиджан;58%
Берёзовский городской округ;51%
Валуйский район;94%
Валуйки;94%
Звенигород;49%
Шатура;51%
Балтийск;344%
Новошахтинск;104%
Кисловодск;51%
Малин;362%
Волжск;77%
Балтийский район;344%
Городской округ Звенигород;49%
Городской округ Новошахтинск;104%
Городской округ Кисловодск;51%
Судак;150%
Волоколамский район;47%
Бологовский район;149%
Нововолынск;332%
Верхнесалдинский городской округ;73%
Советский район;94%
Волоколамск;53%
Верхняя Салда;73%
Советский;94%
Берёзовский;51%
Россошанский район;53%
Рудный;49%
Байконур;193%
Каспийск;55%
Кирово-Чепецк;65%
Кузнецк;53%
Лыткарино;34%
Городской округ Кузнецк;53%
Городской округ Кирово-Чепецк;65%
Городской округ Лыткарино;34%
Городской округ Каспийск;55%
Славянский район;51%
Усинск;59%
Яворовский район;643%
Павлово;66%
Черемхово;85%
Шепетовка;165%
Вятские Поляны;97%
Белебей;35%
Рузаевка;75%
Городской округ Вятские Поляны;97%
Городской округ Черемхово;85%
Находка;38%
Белореченский район;70%
Находкинский городской округ;38%
Кумертау;47%
Лесной;67%
Бологое;143%
Славянск-на-Кубани;53%
Смела;73%
Яворов;643%
Городской округ Лесной;67%
Городской округ Кумертау;47%
Хотьково;64%
Городской округ Бронницы;89%
Тараз;34%
Бронницы;89%
Городской округ Ревда;57%
Городской округ Апатиты;37%
Россошь;54%
Ярцевский район;71%
Берегово;467%
Уральск;20%
Ярцево;72%
Кировск;79%
Белореченск;78%
Краснознаменск;42%
Городской округ ЗАТО Краснознаменск;42%
Апатиты;37%
Горловка;16%
Киржачский район;71%
Городской округ Инта;91%
Ревда;57%
Гамбург;298%
Инта;91%
Клинцы;46%
Тимашёвск;62%
Городской округ Клинцы;46%
Первомайск;49%
Тячевский район;134%
Боровичский район;48%
Городской округ ЗАТО Североморск;87%
Атырау;26%
Кыштымский городской округ;96%
Пущино;86%
Североморск;87%
Боровичи;49%
Кохма;183%
Искитим;46%
Красноуфимск;69%
Городской округ Кохма;183%
Городской округ Пущино;86%
Городской округ Искитим;46%
Городской округ Красноуфимск;69%
Кыштым;96%
Шымкент;18%
Городской округ Озёры;74%
Тячев;134%
Угличский район;65%
Буденновский район;65%
Нефтекумский район;217%
Артёмовский городской округ;44%
Озёры;74%
Темрюкский район;66%
Сегежский район;77%
Городской округ Бор;44%
Углич;66%
Чебаркуль;75%
Енисейск;132%
Губкинский;68%
Бор;44%
Курортный район;97%
Артём;44%
Сестрорецк;97%
Лысьва;33%
Нефтекумск;217%
Бобруйск;47%
Фастов;91%
Лысьвенский городской округ;33%
Городской округ Енисейск;132%
Чебаркульский городской округ;75%
Темрюк;66%
Щербинка;30%
Городской округ Губкинский;68%
Золотоноша;169%
Новомосковский административный округ;29%
Балаклея;168%
Яковлевский район;51%
Балаклейский район;168%
Сегежа;78%
Буденновск;71%
Ирбит;75%
Троицк;45%
Городской округ Алейск;145%
Муниципальное образование Ирбит;75%
Алейск;145%
Троицкий городской округ;45%
Городской округ Саки;51%
Саки;51%
Узловский район;56%
Красноармейск;48%
Белоярский район;124%
Ломоносов;56%
Горишние Плавни;61%
Узловая;56%
Буйнакск;47%
Югорск;50%
Отрадный;63%
Свободный;98%
Белоярский;124%
Кандалакшский район;43%
Петродворцовый район;56%
Каменец-Подольский;40%
Кизляр;45%
Лисаковск;265%
Городской округ Отрадный;63%
Городской округ Красноармейск;48%
Городской округ Лосино-Петровский;64%
Лосино-Петровский;64%
Городской округ Свободный;98%
Городской округ Югорск;50%
Городской округ Буйнакск;47%
Городской округ Кизляр;45%
Невьянский городской округ;63%
Ахтубинский район;51%
Корсаковский городской округ;243%
Городской округ Оленегорск;74%
Экибастуз;66%
Новозыбков;64%
Вышний Волочёк;41%
Красноперекопск;76%
Чугуев;78%
Корсаков;243%
Строитель;49%
Оленегорск;74%
Электроугли;68%
Городской округ Вышний Волочёк;41%
Киржач;55%
Городской округ Красноперекопск;76%
Городской округ Карпинск;74%
Городской округ Новозыбков;64%
Невьянск;63%
Жуковский район;114%
Вилейка;343%
Городской округ Алушта;31%
Жодино;61%
Жуковка;114%
Коряжма;59%
Петушки;101%
Сортавала;78%
Саяногорск;66%
Донецк;67%
Бровары;38%
Ахтубинск;51%
Лесосибирск;48%
Вилейский район;343%
Алушта;31%
Должанск;44%
Сортавальский район;77%
Муниципальное образование Коряжма;59%
Барановичи;36%
Городской округ Лесосибирск;48%
Городской округ Саяногорск;66%
Асбестовский городской округ;26%
Карпинск;74%
Городской округ Донецк;67%
Гайский городской округ;59%
Черняховский городской округ;91%
Режевской городской округ;40%
Володарский район;236%
Благовещенский район;67%
Городской округ Кировск;87%
Благовещенск;67%
Шелеховский район;68%
Асбест;26%
Шелехов;68%
Железногорск;26%
Володарск;236%
Черняховск;91%
Кировск;87%
Кызылорда;35%
Городской округ ЗАТО Железногорск;26%
Реж;40%
Качканарский городской округ;43%
Новая Каховка;35%
Нижнеломовский район;126%
Осинский район;133%
Тавдинский городской округ;98%
Мамадышский район;93%
Нижний Ломов;126%
Верхний Уфалей;60%
Бейнеуский район;1 008%
Мамадыш;93%
Качканар;43%
Конотоп;30%
Тавда;98%
Верхнеуфалейский городской округ;60%
Бейнеу;1 008%
Железнодорожный;35%
Старая Купавна;49%
Богородское;121%
Богородское городское поселение;121%
Бокситогорский район;85%
Подпорожский район;58%
Холмский городской округ;138%
Фурмановский район;59%
Жуковский район;250%
Печенгский район;135%
Новополоцк;44%
Городское поселение Бокситогорское;85%
Енакиево;22%
Ирпень;44%
Арсеньевский городской округ;73%
Ржев;25%
Лубны;41%
Бокситогорск;85%
Краснокамск;59%
Арсеньев;73%
Подпорожье;62%
Заполярный;135%
Холмск;138%
Фурманов;59%
Белоусово;250%
Краснокамский район;59%
Миргород;51%
Городской округ Ржев;25%
Гагаринский район;41%
Тутаевский район;36%
Кондопожский район;43%
Тайшетский район;33%
Балхаш;51%
Усть-Катавский городской округ;57%
Гагарин;43%
Светогорск;160%
Кондопога;45%
Ишим;23%
Бурса;95%
Усть-Катав;57%
Мыски;40%
Северобайкальск;44%
Новодвинск;47%
Протвино;33%
Электрогорск;46%
Пинск;19%
Городской округ Протвино;33%
Городской округ Электрогорск;46%
Муниципальное образование Новодвинск;47%
Мысковский городской округ;40%
Городской округ Северобайкальск;44%
Городской округ Урай;23%
Городской округ Ишим;23%
Черноголовка;28%
Староконстантиновский район;83%
Удомельский район;25%
Богородицкий район;37%
Пустомытовский район;163%
Нижнетуринский городской округ;38%
Бухар-Жырауский район;253%
Жезказган;38%
Слуцк;57%
Шуя;30%
Урай;23%
Удомля;26%
Кандалакша;23%
Нижняя Тура;38%
Тайшет;33%
Урюпинск;38%
Стрежевой;25%
Пустомыты;163%
Слуцкий район;57%
Староконстантинов;83%
Городской округ Черноголовка;27%
Городской округ Шуя;30%
Городской округ Стрежевой;25%
Городской округ Урюпинск;38%
Атланта;128%
Ботакара;253%
Ленинский район;47%
Приозерский район;22%
Кольчугинский район;28%
Правобережный район;66%
Красносулинский район;42%
Семикаракорский район;65%
Городское поселение Сертоловское;33%
Сланцевский район;25%
Кольчугино;28%
Приволжский район;61%
Сланцы;25%
Сертолово;33%
Беслан;66%
Вышгород;68%
Красный Сулин;42%
Ванино;108%
Заринск;29%
Смолевичи;131%
Мозырский район;17%
Смолевичский район;131%
Кронштадтский район;40%
Семикаракорск;65%
Богородицк;34%
Приволжск;61%
Ванинский район;108%
Тутаев;31%
Мозырь;17%
Кронштадт;40%
Шлиссельбург;61%
Городской округ Заринск;29%
Пологовский район;67%
Вышгородский район;68%
Собинский район;42%
Суздальский район;57%
Руднянский район;195%
Веневский район;60%
Гаврилов-Ямский район;55%
Старорусский район;23%
Речица;45%
Городской округ «Охинский»;81%
Амурский район;19%
Талдыкорган;13%
Бурабайский район;69%
Фокино;98%
Собинка;42%
Суздаль;57%
Вичуга;41%
Скопин;45%
Рудня;195%
Пологи;67%
Советск;29%
Владимир-Волынский;103%
Старая Русса;23%
Полысаево;50%
Тында;30%
Канев;64%
Оха;81%
Оса;133%
Измир;39%
Венёв;60%
Речицкий район;44%
Прилуки;37%
Гаврилов-Ям;55%
Шостка;19%
Армянск;28%
Коммунар;48%
Городской округ Скопин;45%
Щучинск;72%
Городской округ Вичуга;41%
Советский городской округ;29%
Полысаевский городской округ;50%
Гай;59%
Городской округ Тында;30%
Красноградский район;55%
Городской округ Фокино;98%
Дновский район;163%
Курганинский район;28%
Цимлянский район;66%
Городской округ Армянск;28%
Городской округ Первомайск;4 338%
Козельский район;34%
Костомукшский городской округ;24%
Алданский район;36%
Городецкий район;21%
Карасайский район;89%
Казталовский район;815%
Орша;13%
Кежемский район;85%
Костомукша;24%
Коркино;21%
Цимлянск;66%
Красноград;55%
Дно;163%
Амурск;17%
Козельск;52%
Борисовский район;19%
Стародорожский район;319%
Заволжье;21%
Оршанский район;13%
Алдан;36%
Сатис;4 338%
Радужный;68%
Старые Дороги;319%
Курганинск;28%
Коркинский район;21%
Борисов;19%
Каскелен;89%
Казталовка;902%
Пересвет;63%
Городской округ Радужный;68%
Городской округ Избербаш;23%
Детройт;3 176%
Волосовский район;29%
Городской округ Певек;282%
Злынковский район;148%
Кашинский район;34%
Городское поселение Онежское;52%
Онежский район;52%
Великоустюгский район;20%
Кемский район;35%
Питкярантский район;47%
Апшеронский район;27%
Кагальницкий район;124%
Дубно;53%
Кодинск;85%
Светлогорск;28%
Кобрин;29%
Избербаш;23%
Городское поселение Волосовское;29%
Советско-Гаванский район;33%
Аулиекольский район;278%
Толочин;124%
Нижнеудинский район;12%
Горки;73%
Мугалжарский район;200%
Белгород-Днестровский;17%
Пружаны;83%
Нежин;13%
Быково;29%
Онега;52%
Касимов;17%
Волосово;29%
Великий Устюг;20%
Кашин;34%
Приозерск;17%
Нижнеудинск;13%
Певек;282%
Советская Гавань;33%
Анталья;22%
Апшеронск;27%
Питкяранта;47%
Кобринский район;29%
Пружанский район;83%
Злынка;148%
Светлогорский район;28%
Кемь;35%
Мирный;22%
Толочинский район;124%
Покров;23%
Горецкий район;73%
Шахтинск;85%
Аулиеколь;278%
Аксу;66%
Кагальницкая;124%
Городское поселение Быково;29%
Щёлкино;78%
Кандыагаш;239%
Городской округ Касимов;17%
Мирнинский район;22%
Лебедянский район;18%
Район Сосногорск;19%
Приморско-Ахтарский район;17%
Богодуховский район;75%
Солигорск;11%
Беломорский район;50%
Гдовский район;90%
Хвалынский район;42%
Шумихинский район;40%
Кричев;61%
Ленский район;26%
Полоцк;9%
Жлобин;16%
Беломорск;50%
Сосногорск;19%
Приморско-Ахтарск;17%
Ленск;26%
Чечерск;161%
Долина;78%
Анадырь;22%
Новоград-Волынский;14%
Хвалынск;42%
Жлобинский район;16%
Лебедянь;18%
Чечерский район;161%
Кричевский район;61%
Дзержинский район;21%
Солигорский район;11%
Полоцкий район;9%
Минский район;107%
Гдов;90%
Шумиха;40%
Заславль;107%
Правдинский;36%
Городское поселение Правдинский;36%
Буча;25%
Городской округ Анадырь;22%
Богодухов;75%
Городской округ Баксан;27%
Ренийский район;29%
Невельский городской округ;40%
Кёльн;42%
Баксан;27%
Здолбуновский район;39%
Иршавский район;14%
Долинский район;78%
Олекминск;64%
Балтский район;19%
Балхашский район;418%
Хайфа;27%
Багратионовский район;43%
Медвежьегорский район;10%
Трускавец;28%
Жирновский район;17%
Чудовский район;15%
Пудожский район;33%
Молодечно;6%
Дзержинск;14%
Верхнедвинск;46%
Кавалеровский район;39%
Таймырский Долгано-Ненецкий район;19%
Рогачёв;21%
Харцызск;3%
Илийский район;20%
Олекминский район;64%
Докшицы;66%
Южно-Курильский городской округ;138%
Бендеры;10%
Бескарагайский район;156%
Ошмяны;46%
Бурлинский район;15%
Мстиславль;61%
Жамбылский район;160%
Темирский район;138%
Мактааральский район;73%
Бельцы;17%
Меркенский район;136%
Кармакшинский район;357%
Боярка;16%
Абайский район;22%
Шардаринский район;233%
Тулун;3%
Чудово;15%
Дудинка;19%
Жирновск;17%
Кавалерово;39%
Южно-Курильск;138%
Медвежьегорск;10%
Пудож;33%
Здолбунов;39%
Багратионовск;43%
Дальнегорск;8%
Пионерский;47%
Фаниполь;46%
Углегорск;66%
Ошмянский район;46%
Рогачёвский район;21%
Мстиславский район;61%
Молодечненский район;6%
Невельск;40%
Тростянец;23%
Иршава;14%
